1.73942:3.1415485600 0.0171171:3.1415719200 0.00311261:3.1415926536
1.73905:3.1415485600 0.0171899:3.1415719200 0.00312522:3.1415926536
1.73867:3.1415485600 0.0167755:3.1415719200 0.00310889:3.1415926536
1.73922:3.1415485600 0.0169918:3.1415719200 0.00314478:3.1415926536
1.7389:3.1415485600 0.0172993:3.1415719200 0.00317382:3.1415926536
1.73895:3.1415485600 0.016851:3.1415719200 0.00310924:3.1415926536
1.73904:3.1414134800 0.0163966:3.1418564400 0.00309105:3.1415926536
1.73829:3.1414134800 0.0164259:3.1418564400 0.00312463:3.1415926536
1.73915:3.1414134800 0.0169317:3.1418564400 0.00309935:3.1415926536
1.73931:3.1414134800 0.0229724:3.1418564400 0.00309586:3.1415926536
1.73934:3.1414134800 0.0166964:3.1418564400 0.00318205:3.1415926536
1.73846:3.1414134800 0.0166072:3.1418564400 0.00309662:3.1415926536
1.69291:3.1417684000 0.0166092:3.1416188000 0.00308863:3.1415926536
1.73904:3.1417684000 0.0167238:3.1416188000 0.00310443:3.1415926536
1.73911:3.1417684000 0.0168837:3.1416188000 0.00311259:3.1415926536
1.73916:3.1417684000 0.0173646:3.1416188000 0.00311594:3.1415926536
1.73846:3.1417684000 0.017124:3.1416188000 0.00311362:3.1415926536
1.73843:3.1417684000 0.0169353:3.1416188000 0.00309229:3.1415926536
1.73869:3.1415985600 0.0167579:3.1417475600 0.00310669:3.1415926536
1.73927:3.1415985600 0.0167806:3.1417475600 0.00320942:3.1415926536
