1.74217:3.1414892800 0.0592227:3.1414426800 0.0131123:3.1415926536
1.76511:3.1414892800 0.0552788:3.1414426800 0.0122557:3.1415926536
1.74136:3.1414892800 0.0540929:3.1414426800 0.0122245:3.1415926536
1.74143:3.1414892800 0.0609772:3.1414426800 0.0130448:3.1415926536
1.74079:3.1414892800 0.0606422:3.1414426800 0.01285:3.1415926536
1.74059:3.1414892800 0.0571802:3.1414426800 0.0128099:3.1415926536
1.74145:3.1414892800 0.055516:3.1414426800 0.0122287:3.1415926536
1.74105:3.1414892800 0.0545176:3.1414426800 0.0122302:3.1415926536
1.74006:3.1414892800 0.0543903:3.1414426800 0.0122443:3.1415926536
1.74024:3.1414892800 0.0543597:3.1414426800 0.0124584:3.1415926536
1.74113:3.1414892800 0.0543896:3.1414426800 0.0122527:3.1415926536
1.73964:3.1414892800 0.0543121:3.1414426800 0.0122829:3.1415926536
1.74158:3.1414892800 0.054398:3.1414426800 0.0122727:3.1415926536
1.74118:3.1414892800 0.0548645:3.1414426800 0.0122878:3.1415926536
1.74222:3.1414892800 0.0550487:3.1414426800 0.0122128:3.1415926536
1.74206:3.1414892800 0.0545225:3.1414426800 0.0122609:3.1415926536
1.74027:3.1414892800 0.0544987:3.1414426800 0.0122583:3.1415926536
1.74136:3.1414892800 0.0553301:3.1414426800 0.012268:3.1415926536
1.74126:3.1414892800 0.0543978:3.1414426800 0.0122749:3.1415926536
1.74015:3.1414892800 0.0763186:3.1414426800 0.0123442:3.1415926536
