3.5264e-05:3.2000000000 0.00175815:2.0000000000 2.80309e-05:3.1719878236
7.28028e-05:3.2000000000 0.00211097:2.0000000000 3.48135e-05:3.1719878236
5.11631e-05:3.6000000000 0.00188302:2.8000000000 2.45446e-05:3.1719878236
6.66638e-05:3.6000000000 0.00223583:2.8000000000 3.41434e-05:3.1719878236
3.23789e-05:3.2000000000 0.00214946:3.2000000000 2.89126e-05:3.1719878236
5.00515e-05:3.2000000000 0.00237505:3.2000000000 3.21989e-05:3.1719878236
5.46797e-05:2.8000000000 0.00224083:4.0000000000 3.16577e-05:3.1719878236
4.94699e-05:2.8000000000 0.00208467:4.0000000000 2.46548e-05:3.1719878236
3.52241e-05:2.8000000000 0.00227933:3.2000000000 2.35428e-05:3.1719878236
5.16747e-05:2.8000000000 0.00221911:3.2000000000 3.37819e-05:3.1719878236
2.45045e-05:2.8000000000 0.00175846:2.8000000000 2.756e-05:3.1719878236
5.36478e-05:2.8000000000 0.0023938:2.8000000000 3.25593e-05:3.1719878236
4.30182e-05:2.4000000000 0.00256992:4.0000000000 2.72696e-05:3.1719878236
4.81078e-05:2.4000000000 0.00234982:4.0000000000 3.26496e-05:3.1719878236
4.79976e-05:3.2000000000 0.00234308:3.6000000000 4.04137e-05:3.1719878236
6.61301e-05:4.0000000000 0.00178661:3.2000000000 2.79007e-05:3.1719878236
5.32872e-05:4.0000000000 0.00226627:3.2000000000 3.286e-05:3.1719878236
5.76044e-05:2.8000000000 0.00190427:2.4000000000 3.0375e-05:3.1719878236
5.55629e-05:2.8000000000 0.00241041:2.4000000000 3.43436e-05:3.1719878236
5.01531e-05:4.0000000000 0.00196584:4.0000000000 3.61671e-05:3.1719878236
