0.00210584:3.1365600000 0.00186769:3.1323200000 3.44425e-05:3.1415926844
0.00217881:3.1365600000 0.00229677:3.1323200000 3.98527e-05:3.1415926844
0.00174662:3.1490400000 0.00177907:3.1322800000 3.86603e-05:3.1415926844
0.00217803:3.1490400000 0.00234209:3.1322800000 4.7757e-05:3.1415926844
0.00176468:3.1436000000 0.00174731:3.1448400000 4.48914e-05:3.1415926844
0.00211518:3.1436000000 0.00196419:3.1448400000 4.53928e-05:3.1415926844
0.00176206:3.1453600000 0.00176439:3.1448400000 4.08642e-05:3.1415926844
0.00233576:3.1453600000 0.0318719:3.1448400000 6.94984e-05:3.1415926844
0.00174394:3.1325600000 0.00181399:3.1450000000 4.24271e-05:3.1415926844
0.00216977:3.1325600000 0.00196696:3.1450000000 4.11249e-05:3.1415926844
0.00216976:3.1346800000 0.00183217:3.1486400000 4.52722e-05:3.1415926844
0.00223613:3.1346800000 0.00290095:3.1486400000 4.43708e-05:3.1415926844
0.00176273:3.1398800000 0.00178281:3.1485200000 4.36392e-05:3.1415926844
0.00211678:3.1398800000 0.00233767:3.1485200000 4.08152e-05:3.1415926844
0.00218443:3.1401200000 0.00173128:3.1480000000 3.70573e-05:3.1415926844
0.0021513:3.1401200000 0.00284689:3.1480000000 4.62346e-05:3.1415926844
0.00173688:3.1439200000 0.00176175:3.1480400000 4.07041e-05:3.1415926844
0.00208614:3.1439200000 0.00210887:3.1480400000 4.48722e-05:3.1415926844
0.00184153:3.1356000000 0.00183837:3.1429200000 4.29378e-05:3.1415926844
0.00200937:3.1356000000 0.00200533:3.1429200000 4.64848e-05:3.1415926844
