1.73847:3.1413365200 0.0219392:3.1411791600 0.0101778:3.1415926536
1.74172:3.1413365200 0.0236015:3.1411791600 0.0102235:3.1415926536
1.73915:3.1413365200 0.022637:3.1411791600 0.0101779:3.1415926536
1.74131:3.1413365200 0.0253942:3.1411791600 0.0101713:3.1415926536
1.74084:3.1413365200 0.0220455:3.1411791600 0.0101945:3.1415926536
1.74095:3.1413365200 0.024677:3.1411791600 0.0102227:3.1415926536
1.74325:3.1413365200 0.022577:3.1411791600 0.0102075:3.1415926536
1.74309:3.1413365200 0.0236459:3.1411791600 0.0101638:3.1415926536
1.74022:3.1413365200 0.021914:3.1411791600 0.0102143:3.1415926536
1.73856:3.1414761200 0.0220665:3.1411791600 0.0101744:3.1415926536
1.73955:3.1414761200 0.0222411:3.1411791600 0.010175:3.1415926536
1.74151:3.1414761200 0.0219382:3.1411791600 0.00554719:3.1415926536
1.74163:3.1414761200 0.025786:3.1411791600 0.0102062:3.1415926536
1.7411:3.1414761200 0.022777:3.1411791600 0.0102216:3.1415926536
1.74082:3.1414761200 0.0269525:3.1411791600 0.0101777:3.1415926536
1.74198:3.1414761200 0.0227312:3.1411791600 0.01022:3.1415926536
1.74147:3.1414761200 0.02348:3.1411791600 0.0101879:3.1415926536
1.7417:3.1414761200 0.0238364:3.1411791600 0.010197:3.1415926536
1.74203:3.1415925200 0.0232029:3.1415587200 0.0101719:3.1415926536
1.74065:3.1415925200 0.0236072:3.1415587200 0.010347:3.1415926536
