1.74484:3.1417453600 0.0556236:3.1416102400 9.27054:3.1415926536
1.74132:3.1417453600 0.0541192:3.1416102400 9.7259:3.1415926536
1.73959:3.1417453600 0.0537265:3.1416102400 9.71673:3.1415926536
1.74181:3.1417453600 0.0538252:3.1416102400 10.114:3.1415926536
1.74158:3.1417453600 0.0550947:3.1416102400 10.3547:3.1415926536
1.74197:3.1417453600 0.0539542:3.1416102400 10.4075:3.1415926536
1.74144:3.1417453600 0.0555588:3.1416102400 10.4998:3.1415926536
1.74148:3.1417453600 0.0541537:3.1416102400 10.9411:3.1415926536
1.74005:3.1417453600 0.0551317:3.1416102400 10.8528:3.1415926536
1.74138:3.1417453600 0.0549201:3.1416102400 10.8965:3.1415926536
1.7411:3.1417453600 0.0540844:3.1416102400 11.0774:3.1415926536
1.7412:3.1417453600 0.0555234:3.1416102400 11.2105:3.1415926536
1.74086:3.1417453600 0.0547625:3.1416102400 11.1578:3.1415926536
1.74024:3.1417453600 0.0535808:3.1416102400 11.2597:3.1415926536
1.74082:3.1417453600 0.0542183:3.1416102400 11.5069:3.1415926536
1.74108:3.1417453600 0.0933092:3.1416102400 11.8441:3.1415926536
1.7403:3.1417453600 0.0538971:3.1416102400 11.8709:3.1415926536
1.7406:3.1417453600 0.053923:3.1416102400 12.1406:3.1415926536
1.74014:3.1417453600 0.0542475:3.1416102400 12.6348:3.1415926536
1.74147:3.1417453600 0.056012:3.1416102400 14.1977:3.1415926536
