1.73863:3.1416477200 0.0145849:3.1416260800 87.5848:3.1415926536
1.73874:3.1413322800 0.0174999:3.1416260800 86.6601:3.1415926536
1.73891:3.1416463600 0.0177632:3.1419081200 86.8932:3.1415926536
1.73852:3.1415298800 0.0173128:3.1416576400 84.815:3.1415926536
1.73778:3.1414075200 0.0180695:3.1417218400 86.205:3.1415926536
1.73888:3.1416040000 0.0177394:3.1415342400 88.6952:3.1415926536
1.73845:3.1413889200 0.0158529:3.1415028000 87.3598:3.1415926536
1.73875:3.1418225200 0.0161426:3.1415776400 85.5126:3.1415926536
1.73901:3.1414041200 0.0166565:3.1415776400 87.2562:3.1415926536
1.73881:3.1414574800 0.0174224:3.1414790400 86.8644:3.1415926536
1.73828:3.1417018000 0.0164482:3.1416143200 86.008:3.1415926536
1.7385:3.1415843600 0.0176411:3.1415355200 86.1855:3.1415926536
1.73831:3.1416383200 0.0172785:3.1415355200 87.2274:3.1415926536
1.73965:3.1414907600 0.0175565:3.1414145200 86.3731:3.1415926536
1.73843:3.1415057200 0.0183324:3.1415542000 86.6353:3.1415926536
1.7383:3.1414008000 0.0175084:3.1416190400 86.0465:3.1415926536
1.73866:3.1415861200 0.0179033:3.1416190400 85.6823:3.1415926536
1.73807:3.1414645200 0.0176177:3.1414495200 85.7932:3.1415926536
1.73868:3.1415888000 0.0175286:3.1417355600 86.4788:3.1415926536
1.73902:3.1416300800 0.0173221:3.1414806800 86.9376:3.1415926536
