1.74018:3.1418439200 1.26819:3.1414732800 0.292126:3.1415926536
1.7406:3.1418439200 1.26811:3.1414732800 0.292045:3.1415926536
1.74039:3.1418439200 1.26846:3.1414732800 0.292242:3.1415926536
1.74071:3.1418439200 1.26802:3.1414732800 0.292188:3.1415926536
1.74146:3.1418439200 1.26871:3.1414732800 0.292313:3.1415926536
1.74061:3.1418439200 1.26841:3.1414732800 0.292244:3.1415926536
1.74043:3.1418439200 1.26781:3.1414732800 0.292359:3.1415926536
1.74059:3.1418439200 1.26802:3.1414732800 0.292256:3.1415926536
1.74022:3.1418439200 1.26795:3.1414732800 0.292245:3.1415926536
1.74036:3.1418439200 1.26802:3.1414732800 0.292344:3.1415926536
1.74119:3.1418439200 1.26828:3.1414732800 0.292385:3.1415926536
1.74117:3.1418439200 1.2688:3.1414732800 0.292341:3.1415926536
1.74035:3.1418439200 1.26781:3.1414732800 0.292261:3.1415926536
1.74079:3.1418439200 1.26855:3.1414732800 0.292409:3.1415926536
1.74098:3.1418439200 1.26834:3.1414732800 0.292483:3.1415926536
1.74084:3.1418439200 1.26782:3.1414732800 0.29233:3.1415926536
1.74105:3.1418439200 1.2685:3.1416296000 0.292401:3.1415926536
1.74128:3.1418439200 1.2683:3.1416296000 0.292469:3.1415926536
1.7416:3.1418439200 1.26876:3.1416296000 0.292464:3.1415926536
1.74145:3.1418439200 1.26837:3.1416296000 0.292495:3.1415926536
