1.74158:3.1413243600 0.0285433:3.1415606000 0.00614269:3.1415926536
1.74361:3.1413243600 0.0396337:3.1415606000 0.00617394:3.1415926536
1.74107:3.1413243600 0.0503676:3.1415606000 0.00626345:3.1415926536
1.73881:3.1413243600 0.0400568:3.1415606000 0.00613672:3.1415926536
1.73988:3.1413243600 0.0395611:3.1415606000 0.00613278:3.1415926536
1.74102:3.1413243600 0.0612368:3.1415606000 0.019017:3.1415926536
1.74102:3.1413243600 0.0741548:3.1415606000 0.0316936:3.1415926536
1.73909:3.1413243600 0.0736997:3.1415606000 0.0314114:3.1415926536
1.74537:3.1413243600 0.0295217:3.1415606000 0.00614951:3.1415926536
1.74059:3.1413243600 0.0909332:3.1415606000 0.0316987:3.1415926536
1.7391:3.1413243600 0.12715:3.1415633600 0.0252463:3.1415926536
1.74065:3.1414782400 0.029041:3.1418145200 0.00612599:3.1415926536
1.73924:3.1414782400 0.0286933:3.1418145200 0.00623544:3.1415926536
1.7401:3.1414782400 0.0495495:3.1418145200 0.00640998:3.1415926536
1.74226:3.1414782400 0.0570004:3.1418145200 0.0177735:3.1415926536
1.74019:3.1414782400 0.0608756:3.1418145200 0.0317388:3.1415926536
1.74007:3.1414782400 0.08074:3.1418145200 0.0251751:3.1415926536
1.74186:3.1414782400 0.0886119:3.1418145200 0.0237603:3.1415926536
1.73963:3.1414782400 0.0806395:3.1418145200 0.0385298:3.1415926536
1.742:3.1414782400 0.114998:3.1418145200 0.035818:3.1415926536
